CustomerID,cluster,segment,recency,frequency,monetary,avg_basket_value,product_variety,country
12347,1,Champion,3.0,7,4310.0,615.71,103,Iceland
12348,1,Regular Customer,76.0,4,1797.24,449.31,22,Finland
12349,3,Champion,19.0,1,1757.55,1757.55,73,Italy
12350,0,At-Risk Customer,311.0,1,334.4,334.4,17,Norway
12352,1,Regular Customer,37.0,8,2506.04,313.26,59,Norway
12353,0,New / One-Time,205.0,1,89.0,89.0,4,Bahrain
12354,0,At-Risk Customer,233.0,1,1079.4,1079.4,58,Spain
12355,0,At-Risk Customer,215.0,1,459.4,459.4,13,Bahrain
12356,1,Champion,23.0,3,2811.43,937.14,53,Portugal
12357,3,New / One-Time,34.0,1,6207.67,6207.67,131,Switzerland
12358,3,Champion,2.0,2,1168.06,584.03,13,Austria
12359,1,Regular Customer,58.0,4,6310.03,1577.51,214,Cyprus
12360,3,Regular Customer,53.0,3,2662.06,887.35,105,Austria
12361,0,New / One-Time,288.0,1,189.9,189.9,10,Belgium
12362,1,Champion,4.0,10,5226.23,522.62,201,Belgium
12363,3,New / One-Time,110.0,2,552.0,276.0,23,Unspecified
12364,3,Champion,8.0,4,1313.1,328.28,70,Belgium
12365,0,At-Risk Customer,292.0,2,641.38,320.69,22,Cyprus
12367,3,New / One-Time,5.0,1,168.9,168.9,11,Denmark
12370,1,Regular Customer,52.0,4,3541.94,885.49,143,Cyprus
12371,3,New / One-Time,45.0,2,1887.96,943.98,63,Switzerland
12372,3,Regular Customer,72.0,3,1298.04,432.68,34,Denmark
12373,0,At-Risk Customer,312.0,1,364.6,364.6,14,Austria
12374,3,Champion,26.0,1,742.93,742.93,33,Austria
12375,3,New / One-Time,11.0,2,457.5,228.75,14,Finland
12377,0,At-Risk Customer,316.0,2,1628.12,814.06,72,Switzerland
12378,3,At-Risk Customer,130.0,1,4008.62,4008.62,219,Switzerland
12379,3,New / One-Time,82.0,2,852.24,426.12,39,Belgium
12380,3,Champion,22.0,4,2724.81,681.2,77,Belgium
12381,3,Champion,5.0,5,1845.31,369.06,70,Norway
12383,0,At-Risk Customer,185.0,5,1850.56,370.11,84,Belgium
12384,3,Champion,29.0,2,585.27,292.64,26,Switzerland
12386,0,At-Risk Customer,338.0,2,401.9,200.95,10,Australia
12388,1,Champion,16.0,6,2780.66,463.44,57,Australia
12390,3,New / One-Time,80.0,1,549.84,549.84,32,Belgium
12391,3,New / One-Time,22.0,1,439.66,439.66,92,Cyprus
12393,1,Regular Customer,73.0,4,1582.6,395.65,47,Australia
12394,3,New / One-Time,64.0,2,1272.48,636.24,26,Belgium
12395,1,Champion,20.0,12,3018.63,251.55,91,Belgium
12397,3,New / One-Time,36.0,2,2409.9,1204.95,110,Belgium
12398,3,New / One-Time,46.0,1,1635.66,1635.66,85,Switzerland
12399,3,Regular Customer,120.0,4,1108.65,277.16,47,Belgium
12401,0,New / One-Time,304.0,1,84.3,84.3,5,Belgium
12402,0,At-Risk Customer,324.0,1,225.6,225.6,11,Belgium
12403,3,New / One-Time,50.0,1,427.7,427.7,5,Denmark
12405,3,At-Risk Customer,149.0,1,1710.39,1710.39,54,Finland
12406,1,Champion,23.0,2,3415.3,1707.65,92,Denmark
12407,1,Regular Customer,50.0,5,1708.12,341.62,57,Belgium
12408,1,Regular Customer,33.0,5,2888.55,577.71,81,Belgium
12409,1,Regular Customer,79.0,3,11072.67,3690.89,91,Switzerland
12410,0,At-Risk Customer,309.0,2,693.33,346.66,26,Switzerland
12412,3,Regular Customer,75.0,3,1226.88,408.96,43,Denmark
12413,1,Regular Customer,67.0,3,758.1,252.7,29,France
12414,0,At-Risk Customer,218.0,3,562.41,187.47,16,Austria
12415,2,Champion,25.0,21,124280.93,5918.14,444,Australia
12417,1,Champion,4.0,9,3649.1,405.46,158,Belgium
12418,3,New / One-Time,113.0,1,668.58,668.58,34,Switzerland
12420,3,New / One-Time,64.0,1,600.39,600.39,29,Cyprus
12421,1,Champion,16.0,4,807.04,201.76,32,Spain
12422,3,Regular Customer,96.0,3,803.56,267.85,39,Australia
12423,1,Champion,1.0,8,1859.31,232.41,97,Belgium
12424,0,At-Risk Customer,163.0,2,1760.96,880.48,30,Australia
12425,3,New / One-Time,79.0,1,777.2,777.2,36,Portugal
12426,0,At-Risk Customer,195.0,1,582.73,582.73,30,Germany
12427,1,Champion,22.0,3,825.8,275.27,26,Germany
12428,1,Champion,26.0,9,7956.46,884.05,258,Finland
12429,1,Champion,10.0,4,3750.4,937.6,82,Denmark
12430,3,New / One-Time,44.0,1,256.4,256.4,11,Norway
12431,1,Loyal Customer,36.0,15,6419.95,428.0,163,Australia
12432,1,Regular Customer,43.0,5,5059.32,1011.86,107,Norway
12433,1,Champion,1.0,7,13375.87,1910.84,219,Norway
12434,3,New / One-Time,85.0,2,806.14,403.07,46,Australia
12435,1,New / One-Time,80.0,2,7829.89,3914.94,31,Denmark
12436,3,New / One-Time,100.0,1,509.01,509.01,16,Norway
12437,1,Champion,2.0,18,4951.41,275.08,118,France
12438,3,Champion,15.0,2,2906.85,1453.43,84,Norway
12441,0,New / One-Time,367.0,1,173.55,173.55,11,France
12442,3,New / One-Time,4.0,1,172.06,172.06,12,Spain
12444,1,Champion,22.0,5,5005.46,1001.09,138,Norway
12445,3,New / One-Time,23.0,1,133.4,133.4,4,Spain
12446,3,New / One-Time,58.0,1,1002.31,1002.31,57,RSA
12447,0,At-Risk Customer,244.0,1,476.49,476.49,26,Belgium
12448,3,New / One-Time,45.0,1,449.45,449.45,22,Spain
12449,1,Champion,23.0,4,4067.29,1016.82,118,Belgium
12450,0,New / One-Time,157.0,2,197.88,98.94,7,Spain
12451,1,Champion,11.0,5,9035.52,1807.1,265,Switzerland
12452,3,New / One-Time,17.0,2,430.57,215.29,21,Switzerland
12453,3,At-Risk Customer,135.0,1,707.09,707.09,43,Austria
12454,3,New / One-Time,57.0,1,3528.34,3528.34,15,Spain
12455,1,Regular Customer,74.0,6,2466.86,411.14,85,Cyprus
12456,1,Regular Customer,45.0,3,3181.04,1060.35,105,Switzerland
12457,3,Regular Customer,67.0,7,2363.23,337.6,53,Switzerland
12458,3,New / One-Time,72.0,2,947.4,473.7,35,Switzerland
12461,3,New / One-Time,95.0,2,826.88,413.44,35,Switzerland
12462,1,Champion,19.0,2,1189.59,594.8,51,Spain
12463,3,Regular Customer,54.0,4,1344.78,336.2,65,Belgium
12464,1,Champion,11.0,8,1212.05,151.51,6,Belgium
12465,3,Champion,18.0,2,742.19,371.09,46,Belgium
12468,0,At-Risk Customer,188.0,2,729.54,364.77,36,Germany
12471,1,Champion,3.0,30,19788.65,659.62,150,Germany
12472,1,Regular Customer,33.0,7,6572.11,938.87,219,Germany
12473,1,Regular Customer,30.0,5,3928.05,785.61,140,Germany
12474,1,Champion,18.0,18,7324.09,406.89,253,Germany
12475,3,New / One-Time,54.0,1,723.38,723.38,36,Germany
12476,1,Champion,16.0,11,6816.42,619.67,177,Germany
12477,1,Champion,23.0,6,13219.74,2203.29,191,Germany
12478,3,Champion,4.0,1,680.99,680.99,36,Greece
12479,3,Champion,12.0,1,527.2,527.2,31,Germany
12480,1,Champion,29.0,4,3281.63,820.41,129,Germany
12481,1,Champion,23.0,10,5579.82,557.98,150,Germany
12483,1,Champion,18.0,8,2484.98,310.62,46,Sweden
12484,1,Regular Customer,33.0,6,4527.32,754.55,256,Spain
12488,3,Champion,10.0,3,1298.66,432.89,46,France
12489,0,At-Risk Customer,337.0,1,334.93,334.93,15,France
12490,1,Champion,6.0,10,5417.93,541.79,131,France
12491,3,New / One-Time,39.0,1,460.4,460.4,25,France
12492,3,New / One-Time,64.0,2,263.21,131.61,19,Germany
12493,0,At-Risk Customer,166.0,2,433.74,216.87,20,France
12494,1,Champion,16.0,7,1246.1,178.01,63,France
12497,3,New / One-Time,82.0,1,1043.1,1043.1,14,Germany
12498,3,Regular Customer,22.0,3,403.7,134.57,21,Germany
12500,1,Champion,24.0,11,4257.82,387.07,34,Germany
12501,0,At-Risk Customer,337.0,1,2169.39,2169.39,149,Germany
12502,1,Regular Customer,96.0,5,3723.87,744.77,102,Spain
12504,3,New / One-Time,19.0,2,482.05,241.02,6,Germany
12506,0,New / One-Time,233.0,1,73.5,73.5,23,France
12507,3,At-Risk Customer,135.0,3,1304.81,434.94,19,Spain
12508,3,New / One-Time,27.0,2,397.88,198.94,57,France
12509,0,New / One-Time,285.0,1,176.5,176.5,7,France
12510,3,At-Risk Customer,143.0,2,982.57,491.28,29,Spain
12512,3,New / One-Time,67.0,2,132.18,66.09,31,Israel
12513,3,New / One-Time,113.0,1,612.29,612.29,35,France
12514,0,At-Risk Customer,268.0,1,1017.68,1017.68,51,Italy
12515,0,At-Risk Customer,354.0,1,383.7,383.7,16,Italy
12516,3,New / One-Time,78.0,2,1312.06,656.03,20,Germany
12517,1,Champion,29.0,5,2481.6,496.32,232,Germany
12518,3,Champion,1.0,5,2056.89,411.38,84,Germany
12519,3,New / One-Time,64.0,1,330.84,330.84,17,Germany
12520,1,Regular Customer,80.0,5,2634.26,526.85,121,Germany
12521,3,At-Risk Customer,143.0,1,599.68,599.68,38,Germany
12522,3,New / One-Time,40.0,2,192.72,96.36,11,Germany
12523,1,Champion,20.0,11,1789.77,162.71,84,France
12524,1,Champion,10.0,8,4485.72,560.72,113,Germany
12526,3,Champion,1.0,3,1316.66,438.89,64,Germany
12527,3,Regular Customer,82.0,3,348.71,116.24,18,Germany
12528,1,Champion,10.0,6,1933.48,322.25,50,Germany
12530,1,Regular Customer,60.0,4,1662.28,415.57,51,Germany
12531,3,New / One-Time,15.0,1,125.22,125.22,17,Germany
12532,3,New / One-Time,31.0,1,349.83,349.83,16,France
12534,3,At-Risk Customer,131.0,1,1089.18,1089.18,63,Germany
12535,3,New / One-Time,92.0,2,716.35,358.18,28,France
12536,1,Regular Customer,44.0,3,12601.83,4200.61,260,France
12538,3,New / One-Time,30.0,1,363.95,363.95,21,Spain
12539,1,Champion,23.0,4,5568.35,1392.09,157,Spain
12540,1,Champion,20.0,17,13400.24,788.25,277,Spain
12541,1,Regular Customer,30.0,3,981.18,327.06,46,Spain
12544,3,New / One-Time,37.0,1,372.7,372.7,19,Spain
12545,3,New / One-Time,76.0,2,1000.39,500.2,42,Spain
12546,3,New / One-Time,47.0,2,1161.5,580.75,59,Spain
12547,0,At-Risk Customer,198.0,2,207.8,103.9,7,Spain
12548,0,New / One-Time,167.0,1,95.2,95.2,5,Spain
12550,3,New / One-Time,80.0,1,964.83,964.83,57,Spain
12551,0,New / One-Time,358.0,1,168.0,168.0,10,Spain
12552,3,New / One-Time,39.0,2,437.82,218.91,20,Italy
12553,1,Champion,9.0,10,3692.28,369.23,95,France
12556,3,New / One-Time,51.0,2,599.56,299.78,100,Spain
12557,1,Champion,17.0,5,11990.96,2398.19,15,Spain
12558,3,New / One-Time,8.0,1,269.96,269.96,11,USA
12559,0,At-Risk Customer,311.0,2,561.71,280.86,21,Germany
12560,3,Champion,6.0,3,2134.01,711.34,91,Germany
12561,0,At-Risk Customer,303.0,1,238.85,238.85,16,Germany
12562,1,Champion,9.0,7,3781.74,540.25,99,France
12564,0,At-Risk Customer,262.0,1,456.9,456.9,21,France
12565,0,New / One-Time,289.0,1,145.92,145.92,9,Saudi Arabia
12566,3,New / One-Time,87.0,1,351.65,351.65,19,Germany
12567,1,Champion,23.0,10,9401.28,940.13,323,France
12569,1,Champion,3.0,32,4124.69,128.9,92,Germany
12571,3,New / One-Time,40.0,2,519.61,259.8,31,France
12572,3,Champion,9.0,2,1020.42,510.21,53,Germany
12573,0,New / One-Time,228.0,1,160.54,160.54,26,France
12574,0,At-Risk Customer,316.0,1,218.45,218.45,11,France
12576,1,Regular Customer,36.0,5,1315.83,263.17,72,Poland
12577,1,Regular Customer,36.0,3,626.6,208.87,137,France
12578,1,Champion,22.0,2,2794.51,1397.26,111,Italy
12579,3,New / One-Time,79.0,1,440.42,440.42,29,France
12580,0,At-Risk Customer,247.0,1,415.7,415.7,24,Germany
12581,3,New / One-Time,40.0,1,197.71,197.71,15,Germany
12582,0,At-Risk Customer,239.0,2,511.36,255.68,21,Finland
12583,1,Champion,3.0,15,7281.38,485.43,115,France
12584,1,Champion,4.0,9,2338.15,259.79,44,Italy
12585,0,At-Risk Customer,235.0,2,2040.1,1020.05,77,Germany
12586,3,New / One-Time,18.0,1,196.94,196.94,11,Italy
12587,3,New / One-Time,8.0,1,144.0,144.0,4,Finland
12588,3,New / One-Time,40.0,1,214.9,214.9,10,Finland
12589,3,Champion,29.0,2,646.68,323.34,29,France
12590,3,At-Risk Customer,212.0,2,9864.26,4932.13,68,Germany
12591,0,At-Risk Customer,318.0,1,452.85,452.85,26,Italy
12592,3,New / One-Time,93.0,2,437.6,218.8,11,Germany
12593,3,Regular Customer,109.0,3,418.1,139.37,14,France
12594,1,Loyal Customer,38.0,10,3338.22,333.82,50,Italy
12596,3,New / One-Time,52.0,2,618.27,309.14,25,Spain
12597,1,Champion,20.0,4,3811.22,952.8,184,Spain
12598,1,Champion,10.0,8,3023.08,377.89,84,France
12599,1,Regular Customer,30.0,7,1032.58,147.51,32,France
12600,1,Champion,29.0,10,2599.04,259.9,32,Germany
12601,0,At-Risk Customer,190.0,5,577.06,115.41,21,Germany
12602,3,New / One-Time,59.0,1,153.12,153.12,12,France
12603,3,Champion,22.0,1,739.2,739.2,2,Germany
12604,3,New / One-Time,80.0,2,254.18,127.09,15,France
12607,3,New / One-Time,61.0,1,1579.51,1579.51,101,USA
12609,1,Regular Customer,79.0,3,1126.85,375.62,57,Germany
12610,3,Champion,23.0,5,2099.54,419.91,85,Italy
12611,3,New / One-Time,53.0,1,1193.32,1193.32,65,Italy
12612,3,New / One-Time,75.0,1,704.04,704.04,19,Germany
12613,1,Regular Customer,58.0,5,3344.38,668.88,124,Germany
12614,0,At-Risk Customer,278.0,1,315.6,315.6,20,Germany
12615,1,Champion,3.0,4,2291.19,572.8,82,France
