StockCode,Description,revenue_GBP,units_sold
22423,REGENCY CAKESTAND 3 TIER,142265.0,12374.0
85123A,WHITE HANGING HEART T-LIGHT HOLDER,87566.0,31836.0
85099B,JUMBO BAG RED RETROSPOT,79481.0,42878.0
POST,POSTAGE,77804.0,3120.0
47566,PARTY BUNTING,68785.0,15279.0
M,Manual,52720.0,4133.0
84879,ASSORTED COLOUR BIRD ORNAMENT,50497.0,31183.0
79321,CHILLI LIGHTS,46265.0,9646.0
23084,RABBIT NIGHT LIGHT,40030.0,21273.0
22086,PAPER CHAIN KIT 50'S CHRISTMAS,39983.0,14571.0
22502,PICNIC BASKET WICKER 60 PIECES,39620.0,61.0
21137,BLACK RECORD COVER FRAME,39046.0,11401.0
22386,JUMBO BAG PINK POLKADOT,37254.0,20148.0
23284,DOORMAT KEEP CALM AND COME IN,35881.0,5338.0
23298,SPOTTY BUNTING,35510.0,7633.0
82484,WOOD BLACK BOARD ANT WHITE FINISH,34415.0,5913.0
22720,SET OF 3 CAKE TINS PANTRY DESIGN,33298.0,7010.0
22960,JAM MAKING SET WITH JARS,32616.0,8140.0
85099F,JUMBO BAG STRAWBERRY,30569.0,16771.0
22178,VICTORIAN GLASS HANGING T-LIGHT,28735.0,22404.0
20725,LUNCH BAG RED RETROSPOT,27869.0,17576.0
23245,SET OF 3 REGENCY CAKE TINS,26566.0,5844.0
23199,JUMBO BAG APPLES,26426.0,13875.0
22727,ALARM CLOCK BAKELIKE RED,25869.0,7206.0
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,25640.0,9423.0
22469,HEART OF WICKER SMALL,25600.0,15412.0
20685,DOORMAT RED RETROSPOT,25365.0,3897.0
22699,ROSES REGENCY TEACUP AND SAUCER,24827.0,9119.0
22629,SPACEBOY LUNCH BOX,24673.0,13908.0
22470,HEART OF WICKER LARGE,24358.0,8293.0
23355,HOT WATER BOTTLE KEEP CALM,24303.0,5313.0
23201,JUMBO BAG ALPHABET,24160.0,12533.0
22457,NATURAL SLATE HEART CHALKBOARD,24089.0,8427.0
21181,PLEASE ONE PERSON METAL SIGN,23866.0,11932.0
85099C,JUMBO  BAG BAROQUE BLACK WHITE,23631.0,12771.0
48138,DOORMAT UNION FLAG,23623.0,3614.0
22112,CHOCOLATE HOT WATER BOTTLE,23585.0,5152.0
23173,REGENCY TEAPOT ROSES,23034.0,2662.0
22138,BAKING SET 9 PIECE RETROSPOT,22953.0,4786.0
48187,DOORMAT NEW ENGLAND,22784.0,3698.0
